window,trial,session,subject,app,group,cohort,rater
preCS,3,LTMT,g,0,RET,summer15,KT
preCS,4,LTMT,g,0,RET,summer15,KT
CS1,1,LTMT,g,2,RET,summer15,KT
CS1,2,LTMT,g,0,RET,summer15,KT
CS1,3,LTMT,g,2,RET,summer15,KT
CS1,4,LTMT,g,1,RET,summer15,KT
CS2,1,LTMT,g,4,RET,summer15,KT
CS2,2,LTMT,g,3,RET,summer15,KT
CS2,3,LTMT,g,4,RET,summer15,KT
CS2,4,LTMT,g,2,RET,summer15,KT
CS3,1,LTMT,g,0,RET,summer15,KT
CS3,2,LTMT,g,1,RET,summer15,KT
CS3,3,LTMT,g,0,RET,summer15,KT
CS3,4,LTMT,g,0,RET,summer15,KT
CS4,1,LTMT,g,0,RET,summer15,KT
CS4,2,LTMT,g,0,RET,summer15,KT
CS4,3,LTMT,g,0,RET,summer15,KT
CS4,4,LTMT,g,0,RET,summer15,KT
preCS,1,RT,g,0,RET,summer15,KT
preCS,2,RT,g,0,RET,summer15,KT
preCS,3,RT,g,0,RET,summer15,KT
preCS,4,RT,g,0,RET,summer15,KT
CS1,1,RT,g,0,RET,summer15,KT
CS1,2,RT,g,4,RET,summer15,KT
CS1,3,RT,g,0,RET,summer15,KT
CS1,4,RT,g,3,RET,summer15,KT
CS2,1,RT,g,1,RET,summer15,KT
CS2,2,RT,g,4,RET,summer15,KT
CS2,3,RT,g,0,RET,summer15,KT
CS2,4,RT,g,0,RET,summer15,KT
CS3,1,RT,g,0,RET,summer15,KT
CS3,2,RT,g,0,RET,summer15,KT
CS3,3,RT,g,1,RET,summer15,KT
CS3,4,RT,g,0,RET,summer15,KT
CS4,1,RT,g,0,RET,summer15,KT
CS4,2,RT,g,0,RET,summer15,KT
CS4,3,RT,g,1,RET,summer15,KT
CS4,4,RT,g,1,RET,summer15,KT
preCS,1,LTMT,h,0,RET,summer15,KT
preCS,2,LTMT,h,0,RET,summer15,KT
preCS,3,LTMT,h,0,RET,summer15,KT
preCS,4,LTMT,h,0,RET,summer15,KT
CS1,1,LTMT,h,0,RET,summer15,KT
CS1,2,LTMT,h,0,RET,summer15,KT
CS1,3,LTMT,h,0,RET,summer15,KT
CS1,4,LTMT,h,0,RET,summer15,KT
CS2,1,LTMT,h,0,RET,summer15,KT
CS2,2,LTMT,h,0,RET,summer15,KT
CS2,3,LTMT,h,2,RET,summer15,KT
CS2,4,LTMT,h,0,RET,summer15,KT
CS3,1,LTMT,h,3,RET,summer15,KT
CS3,2,LTMT,h,0,RET,summer15,KT
CS3,3,LTMT,h,0,RET,summer15,KT
CS3,4,LTMT,h,0,RET,summer15,KT
CS4,1,LTMT,h,0,RET,summer15,KT
CS4,2,LTMT,h,0,RET,summer15,KT
CS4,3,LTMT,h,0,RET,summer15,KT
CS4,4,LTMT,h,0,RET,summer15,KT
preCS,1,RT,h,0,RET,summer15,KT
preCS,2,RT,h,0,RET,summer15,KT
preCS,3,RT,h,0,RET,summer15,KT
preCS,4,RT,h,0,RET,summer15,KT
CS1,1,RT,h,1,RET,summer15,KT
CS1,2,RT,h,0,RET,summer15,KT
CS1,3,RT,h,0,RET,summer15,KT
CS1,4,RT,h,0,RET,summer15,KT
CS2,1,RT,h,2,RET,summer15,KT
CS2,2,RT,h,0,RET,summer15,KT
CS2,3,RT,h,0,RET,summer15,KT
CS2,4,RT,h,0,RET,summer15,KT
CS3,1,RT,h,0,RET,summer15,KT
CS3,2,RT,h,0,RET,summer15,KT
CS3,3,RT,h,0,RET,summer15,KT
CS3,4,RT,h,0,RET,summer15,KT
CS4,1,RT,h,0,RET,summer15,KT
CS4,2,RT,h,0,RET,summer15,KT
CS4,3,RT,h,0,RET,summer15,KT
CS4,4,RT,h,0,RET,summer15,KT
preCS,1,LTMT,i,0,RET,summer15,KT
preCS,2,LTMT,i,0,RET,summer15,KT
preCS,3,LTMT,i,0,RET,summer15,KT
preCS,4,LTMT,i,0,RET,summer15,KT
CS1,1,LTMT,i,1,RET,summer15,KT
CS1,2,LTMT,i,1,RET,summer15,KT
CS1,3,LTMT,i,1,RET,summer15,KT
CS1,4,LTMT,i,0,RET,summer15,KT
CS2,1,LTMT,i,0,RET,summer15,KT
CS2,2,LTMT,i,0,RET,summer15,KT
CS2,3,LTMT,i,3,RET,summer15,KT
CS2,4,LTMT,i,0,RET,summer15,KT
CS3,1,LTMT,i,0,RET,summer15,KT
CS3,2,LTMT,i,0,RET,summer15,KT
CS3,3,LTMT,i,0,RET,summer15,KT
CS3,4,LTMT,i,0,RET,summer15,KT
CS4,1,LTMT,i,0,RET,summer15,KT
CS4,2,LTMT,i,0,RET,summer15,KT
CS4,3,LTMT,i,0,RET,summer15,KT
CS4,4,LTMT,i,0,RET,summer15,KT
preCS,1,RT,i,3,RET,summer15,KT
preCS,2,RT,i,0,RET,summer15,KT
preCS,3,RT,i,0,RET,summer15,KT
preCS,4,RT,i,2,RET,summer15,KT
CS1,1,RT,i,0,RET,summer15,KT
CS1,2,RT,i,0,RET,summer15,KT
CS1,3,RT,i,0,RET,summer15,KT
CS1,4,RT,i,4,RET,summer15,KT
CS2,1,RT,i,1,RET,summer15,KT
CS2,2,RT,i,0,RET,summer15,KT
CS2,3,RT,i,1,RET,summer15,KT
CS2,4,RT,i,2,RET,summer15,KT
CS3,1,RT,i,1,RET,summer15,KT
CS3,2,RT,i,2,RET,summer15,KT
CS3,3,RT,i,1,RET,summer15,KT
CS3,4,RT,i,0,RET,summer15,KT
CS4,1,RT,i,0,RET,summer15,KT
CS4,2,RT,i,0,RET,summer15,KT
CS4,3,RT,i,0,RET,summer15,KT
CS4,4,RT,i,0,RET,summer15,KT
preCS,1,LTMT,j,0,NORET,summer15,KT
preCS,2,LTMT,j,0,NORET,summer15,KT
