window,trial,session,subject,con,group,cohort,rater
CS3,1,RT,c,3,NORET,summer15,KT
CS3,2,RT,c,3,NORET,summer15,KT
CS3,3,RT,c,3,NORET,summer15,KT
CS3,4,RT,c,0,NORET,summer15,KT
CS4,1,RT,c,4,NORET,summer15,KT
CS4,2,RT,c,0,NORET,summer15,KT
CS4,3,RT,c,2,NORET,summer15,KT
CS4,4,RT,c,0,NORET,summer15,KT
CS3,1,LTMT,d,2,NORET,summer15,KT
CS3,2,LTMT,d,3,NORET,summer15,KT
CS3,3,LTMT,d,0,NORET,summer15,KT
CS3,4,LTMT,d,0,NORET,summer15,KT
CS4,1,LTMT,d,0,NORET,summer15,KT
CS4,2,LTMT,d,0,NORET,summer15,KT
CS4,3,LTMT,d,0,NORET,summer15,KT
CS4,4,LTMT,d,0,NORET,summer15,KT
CS3,1,RT,d,1,NORET,summer15,KT
CS3,2,RT,d,2,NORET,summer15,KT
CS3,3,RT,d,0,NORET,summer15,KT
CS3,4,RT,d,0,NORET,summer15,KT
CS4,1,RT,d,2,NORET,summer15,KT
CS4,2,RT,d,3,NORET,summer15,KT
CS4,3,RT,d,0,NORET,summer15,KT
CS4,4,RT,d,0,NORET,summer15,KT
CS3,1,LTMT,e,3,NORET,summer15,KT
CS3,2,LTMT,e,2,NORET,summer15,KT
CS3,3,LTMT,e,2,NORET,summer15,KT
CS3,4,LTMT,e,0,NORET,summer15,KT
CS4,1,LTMT,e,4,NORET,summer15,KT
CS4,2,LTMT,e,4,NORET,summer15,KT
CS4,3,LTMT,e,4,NORET,summer15,KT
CS4,4,LTMT,e,0,NORET,summer15,KT
CS3,1,RT,e,4,NORET,summer15,KT
CS3,2,RT,e,0,NORET,summer15,KT
CS3,3,RT,e,1,NORET,summer15,KT
CS3,4,RT,e,1,NORET,summer15,KT
CS4,1,RT,e,1,NORET,summer15,KT
CS4,2,RT,e,0,NORET,summer15,KT
CS4,3,RT,e,0,NORET,summer15,KT
CS4,4,RT,e,2,NORET,summer15,KT
CS3,1,LTMT,f,2,NORET,summer15,KT
CS3,2,LTMT,f,2,NORET,summer15,KT
CS3,3,LTMT,f,0,NORET,summer15,KT
CS3,4,LTMT,f,0,NORET,summer15,KT
CS4,1,LTMT,f,4,NORET,summer15,KT
CS4,2,LTMT,f,0,NORET,summer15,KT
CS4,3,LTMT,f,1,NORET,summer15,KT
CS4,4,LTMT,f,0,NORET,summer15,KT
CS3,1,RT,f,4,NORET,summer15,KT
CS3,2,RT,f,4,NORET,summer15,KT
CS3,3,RT,f,2,NORET,summer15,KT
CS3,4,RT,f,4,NORET,summer15,KT
CS4,1,RT,f,4,NORET,summer15,KT
CS4,2,RT,f,4,NORET,summer15,KT
CS4,3,RT,f,4,NORET,summer15,KT
CS4,4,RT,f,4,NORET,summer15,KT
CS3,1,LTMT,g,4,RET,summer15,KT
CS3,2,LTMT,g,3,RET,summer15,KT
CS3,3,LTMT,g,4,RET,summer15,KT
CS3,4,LTMT,g,0,RET,summer15,KT
CS4,1,LTMT,g,0,RET,summer15,KT
CS4,2,LTMT,g,4,RET,summer15,KT
CS4,3,LTMT,g,1,RET,summer15,KT
CS4,4,LTMT,g,0,RET,summer15,KT
CS3,1,RT,g,1,RET,summer15,KT
CS3,2,RT,g,4,RET,summer15,KT
CS3,3,RT,g,0,RET,summer15,KT
CS3,4,RT,g,0,RET,summer15,KT
CS4,1,RT,g,0,RET,summer15,KT
CS4,2,RT,g,3,RET,summer15,KT
CS4,3,RT,g,0,RET,summer15,KT
CS4,4,RT,g,0,RET,summer15,KT
CS3,1,LTMT,h,0,RET,summer15,KT
CS3,2,LTMT,h,0,RET,summer15,KT
CS3,3,LTMT,h,0,RET,summer15,KT
CS3,4,LTMT,h,0,RET,summer15,KT
CS4,1,LTMT,h,3,RET,summer15,KT
CS4,2,LTMT,h,0,RET,summer15,KT
CS4,3,LTMT,h,0,RET,summer15,KT
CS4,4,LTMT,h,0,RET,summer15,KT
CS3,1,RT,h,0,RET,summer15,KT
CS3,2,RT,h,2,RET,summer15,KT
