window,trial,session,subject,app,cohort,group,rater
preCS,8,8,a,0,summer15,RET,SL
CS1,1,8,a,3,summer15,RET,SL
CS1,2,8,a,1,summer15,RET,SL
CS1,3,8,a,2,summer15,RET,SL
CS1,4,8,a,1,summer15,RET,SL
CS1,5,8,a,2,summer15,RET,SL
CS1,6,8,a,0,summer15,RET,SL
CS1,7,8,a,4,summer15,RET,SL
CS1,8,8,a,0,summer15,RET,SL
CS2,1,8,a,3,summer15,RET,SL
CS2,2,8,a,2,summer15,RET,SL
CS2,3,8,a,3,summer15,RET,SL
CS2,4,8,a,4,summer15,RET,SL
CS2,5,8,a,3,summer15,RET,SL
CS2,6,8,a,1,summer15,RET,SL
CS2,7,8,a,1,summer15,RET,SL
CS2,8,8,a,4,summer15,RET,SL
preCS,1,9,a,0,summer15,RET,SL
preCS,2,9,a,0,summer15,RET,SL
preCS,3,9,a,0,summer15,RET,SL
preCS,4,9,a,0,summer15,RET,SL
preCS,5,9,a,0,summer15,RET,SL
preCS,6,9,a,0,summer15,RET,SL
preCS,7,9,a,0,summer15,RET,SL
preCS,8,9,a,0,summer15,RET,SL
CS1,1,9,a,2,summer15,RET,SL
CS1,2,9,a,1,summer15,RET,SL
CS1,3,9,a,3,summer15,RET,SL
CS1,4,9,a,0,summer15,RET,SL
CS1,5,9,a,3,summer15,RET,SL
CS1,6,9,a,0,summer15,RET,SL
CS1,7,9,a,0,summer15,RET,SL
CS1,8,9,a,0,summer15,RET,SL
CS2,1,9,a,3,summer15,RET,SL
CS2,2,9,a,3,summer15,RET,SL
CS2,3,9,a,4,summer15,RET,SL
CS2,4,9,a,4,summer15,RET,SL
CS2,5,9,a,4,summer15,RET,SL
CS2,6,9,a,2,summer15,RET,SL
CS2,7,9,a,4,summer15,RET,SL
CS2,8,9,a,4,summer15,RET,SL
preCS,1,10,a,0,summer15,RET,SL
preCS,2,10,a,0,summer15,RET,SL
preCS,3,10,a,0,summer15,RET,SL
preCS,4,10,a,0,summer15,RET,SL
preCS,5,10,a,0,summer15,RET,SL
preCS,6,10,a,2,summer15,RET,SL
preCS,7,10,a,3,summer15,RET,SL
preCS,8,10,a,0,summer15,RET,SL
CS1,1,10,a,0,summer15,RET,SL
CS1,2,10,a,0,summer15,RET,SL
CS1,3,10,a,0,summer15,RET,SL
CS1,4,10,a,2,summer15,RET,SL
CS1,5,10,a,1,summer15,RET,SL
CS1,6,10,a,2,summer15,RET,SL
